"Customer ID",Recency_Days,Frequency,Total_Spend,Customer_Segment
18102,0,27,117190.67999999993,"VIP Gold"
14646,3,26,84077.61999999994,"VIP Gold"
14156,4,33,82545.91999999991,"VIP Gold"
13694,3,46,72612.92999999998,"VIP Gold"
14911,3,51,39399.45999999999,"VIP Gold"
13902,12,5,34095.259999999995,"VIP Gold"
15311,0,46,28004.96,"VIP Gold"
17949,0,35,27941.159999999996,"VIP Gold"
16029,5,18,21115.32,"VIP Gold"
17511,13,6,21046.03999999999,"VIP Gold"
17850,25,42,19419.68000000002,"VIP Gold"
15061,29,16,19283.279999999977,"VIP Gold"
17940,6,4,16329.35,"VIP Gold"
16779,3,14,14889.200000000004,"VIP Gold"
15760,10,2,13916.34,"VIP Gold"
13089,7,24,13242.39,"VIP Gold"
16754,0,5,12859.44,"VIP Gold"
16684,32,6,12477.720000000001,"Loyal Customer"
14527,0,27,12326.870000000003,"VIP Gold"
12918,6,1,10953.5,"VIP Gold"
14680,0,19,10819.370000000004,"VIP Gold"
13081,19,4,10149.76000000001,"VIP Gold"
14091,34,2,9530.08,"Loyal Customer"
14063,66,7,9471.5,Regular
15769,24,4,9405,"VIP Gold"
13798,8,16,9303.609999999995,"VIP Gold"
13408,4,15,9156.421999999995,"VIP Gold"
17841,0,32,9131.599999999999,"VIP Gold"
17920,0,14,8985.539999999995,"VIP Gold"
13777,13,9,8684.059999999998,"VIP Gold"
13093,8,12,8400.169999999998,"VIP Gold"
15768,4,15,8332.80999999998,"VIP Gold"
14258,11,5,8143.579999999999,"VIP Gold"
14031,17,9,8096.739999999992,"VIP Gold"
16705,27,6,7678.240999999996,"VIP Gold"
14160,6,6,7238.090000000001,"VIP Gold"
17448,0,22,7156.73000000002,"VIP Gold"
14298,25,8,7107.609999999995,"VIP Gold"
13340,0,3,6986.059999999997,"VIP Gold"
15413,71,5,6798.720000000001,Regular
12709,12,6,6518.44,"VIP Gold"
12471,3,19,6496.559999999996,"VIP Gold"
12482,33,5,6437.759999999999,"Loyal Customer"
17243,1,18,6388.089999999993,"VIP Gold"
14607,10,5,6375.270000000002,"VIP Gold"
